Clubs (138),89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs (138)
Chelsea,,,,,,,,,,,,,,,,,,2. 3,2. 2,1. 13,1. 11,1. 19,2. 3,2. 2,1. 18,1. 8,1. 19,1. 3,1. 18,1. 9,1. 19,1. 21,2. 5,2. 3,2. 4,2. 3,2. 9,2. 2,1. 12,1. 12,1. 18,1. 19,1. 12,1. 8,1. 13,1. 10,1. 20,1. 15,1. 18,1. 13,1. 13,1. 20,1. 19,1. 19,1. 8,1. 1,1. 16,1. 12,1. 11,1. 14,1. 18,1. 12,1. 22,2. 2,1. 5,1. 3,1. 5,1. 9,1. 6,1. 5,1. 3,1. 6,1. 7,1. 12,1. 17,1. 21,2. 11,2. 2,1. 16,1. 22,2. 4,2. 12,2. 12,2. 18,2. 1,1. 6,1. 6,1. 14,1. 18,2. 1,1. 5,1. 11,1. 14,1. 11,1. 14,1. 11,1. 11,1. 6,1. 4,1. 3,1. 5,1. 6,1. 6,1. 4,1. 2,1. 1,1. 1,1. 2,1. 2,1. 3,1. 1,1. 2,1. 6,1. 3,1. 3,1. 1,4. PL,Chelsea
,Season,,,,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Season
Clubs,,,,,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs
Hull City,,,,,,,,,,,,,,,,,,2. 5,2. 9,2. 8,2. 4,2. 3,2. 5,2. 7,2. 12,2. 7,2. 7,2. 11,2. 13,2. 5,2. 12,2. 17,2. 10,2. 13,2. 7,2. 14,2. 12,2. 21,3. 6,3. 8,3. 1,2. 15,2. 13,2. 22,3. 5,3. 3,3. 7,3. 11,3. 5,3. 1,2. 7,2. 10,2. 18,2. 18,2. 15,2. 19,2. 22,3. 8,3. 5,3. 2,2. 21,3. 11,3. 10,3. 10,3. 8,3. 4,3. 1,2. 12,2. 17,2. 11,2. 13,2. 5,2. 12,2. 13,2. 9,2. 8,2. 14,2. 14,2. 22,3. 8,3. 20,3. 24,4. 8,4. 2,3. 4,3. 3,2. 6,2. 14,2. 15,2. 21,2. 14,2. 24,3. 14,3. 20,3. 9,3. 8,3. 24,4. 17,4. 22,4. 21,4. 14,4. 6,4. 11,4. 13,4. 2,3. 2,2. 18,2. 21,2. 3,1. 17,1. 19,2. 11,2. 8,2. 2,1. 16,1. 18,4. CH,Hull City
Leeds City,,,,,,,,,,,,,,,,,,2. 6,2. 10,2. 12,2. 12,2. 17,2. 11,2. 19,2. 6,2. 4,2. 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leeds City
"Clapton Orient (Orient, Leyton Orient)",,,,,,,,,,,,,,,,,,2. 20,2. 17,2. 14,2. 15,2. 16,2. 4,2. 4,2. 14,2. 6,2. 9,2. 15,2. 7,2. 15,2. 19,2. 10,2. 11,2. 20,2. 20,2. 20,2. 22,3. 12,3. 19,3. 16,3. 20,3. 11,3. 14,3. 14,3. 12,3. 19,3. 20,3. 19,3. 17,3. 19,3. 18,3. 19,3. 18,3. 14,3. 11,3. 2,3. 1,2. 15,2. 12,2. 17,2. 10,2. 19,2. 2,1. 22,2. 16,2. 19,2. 22,3. 14,3. 18,3. 18,3. 1,2. 17,2. 17,2. 15,2. 4,2. 12,2. 13,2. 19,2. 14,2. 11,2. 14,2. 17,2. 22,3. 20,3. 11,3. 22,4. 5,4. 7,4. 8,4. 6,3. 14,3. 13,3. 10,3. 7,3. 18,3. 24,4. 21,4. 16,4. 11,4. 6,4. 19,4. 5,4. 18,4. 18,4. 19,4. 11,4. 3,3. 20,3. 14,3. 14,3. 17,3. 7,3. 20,3. 7,3. 3,3. 23,4. L2,Leyton Orient
Oldham Athletic,,,,,,,,,,,,,,,,,,,,2. 3,2. 6,2. 2,1. 7,1. 18,1. 9,1. 4,1. 2,1. 17,1. 19,1. 19,1. 22,2. 7,2. 18,2. 7,2. 10,2. 7,2. 18,2. 3,2. 12,2. 18,2. 16,2. 9,2. 21,3. 7,3. 4,3. 4,3. 5,3. 19,3. 11,3. 6,3. 11,3. 15,3. 4,3. 1,2. 22,3. 10,3. 20,3. 19,3. 15,4. 21,4. 23,4. 12,4. 11,4. 2,3. 9,3. 20,3. 20,3. 10,3. 16,3. 24,4. 19,4. 3,3. 11,3. 4,3. 1,2. 18,2. 17,2. 13,2. 8,2. 14,2. 11,2. 15,2. 11,2. 7,2. 19,2. 14,2. 8,2. 3,2. 10,2. 16,2. 8,2. 1,1. 17,1. 19,1. 21,2. 14,2. 18,2. 23,3. 13,3. 20,3. 14,3. 15,3. 9,3. 5,3. 15,3. 19,3. 10,3. 6,3. 8,3. 10,3. 16,3. 17,3. 16,3. 19,3. 15,3. 15,4. L1,Oldham Athletic
Fulham,,,,,,,,,,,,,,,,,,,,2. 4,2. 10,2. 7,2. 10,2. 8,2. 9,2. 11,2. 12,2. 6,2. 9,2. 7,2. 10,2. 20,2. 12,2. 19,2. 18,2. 21,3. 5,3. 7,3. 9,3. 1,2. 3,2. 16,2. 7,2. 9,2. 11,2. 8,2. 12,2. 15,2. 11,2. 1,1. 17,1. 18,1. 22,2. 8,2. 8,2. 14,2. 9,2. 11,2. 5,2. 2,1. 10,1. 17,1. 20,1. 16,1. 15,1. 20,1. 20,1. 18,1. 22,2. 22,3. 4,3. 2,2. 20,2. 9,2. 13,2. 9,2. 12,2. 17,2. 10,2. 10,2. 20,3. 13,3. 3,2. 4,2. 11,2. 9,2. 22,3. 18,3. 9,3. 4,3. 20,3. 21,3. 9,3. 12,3. 21,4. 8,4. 17,4. 2,3. 6,3. 1,2. 9,2. 1,1. 13,1. 14,1. 9,1. 13,1. 12,1. 16,1. 17,1. 7,1. 12,1. 8,1. 9,1. 12,1. 19,2. 17,4. CH,Fulham
Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,2. 2,1. 15,1. 15,1. 12,1. 17,1. 17,1. 20,2. 1,1. 6,1. 2,1. 12,1. 15,1. 12,1. 15,1. 13,1. 21,2. 10,2. 12,2. 3,2. 8,2. 2,1. 3,1. 22,2. 5,2. 10,2. 5,2. 8,2. 6,2. 8,2. 5,2. 1,1. 1,1. 2,1. 10,1. 16,1. 16,1. 18,1. 2,1. 3,1. 18,1. 3,1. 1,1. 3,1. 2,1. 4,1. 6,1. 8,1. 3,1. 7,1. 6,1. 11,1. 3,1. 6,1. 8,1. 11,1. 19,1. 9,1. 22,2. 3,1. 11,1. 14,1. 10,1. 4,1. 4,1. 8,1. 3,1. 10,1. 3,1. 13,1. 6,1. 3,1. 10,1. 15,1. 8,1. 15,1. 7,1. 8,1. 10,1. 14,1. 11,1. 10,1. 12,1. 9,1. 10,1. 14,1. 9,1. 5,1. 5,1. 11,1. 8,1. 4,1. 5,1. 4,1. 5,1. 6,1. 5,4. PL,Tottenham Hotspur
Bradford Park Avenue,,,,,,,,,,,,,,,,,,,,,2. 16,2. 10,2. 12,2. 11,2. 13,2. 2,1. 9,1. 11,1. 22,2. 21,3. 2,3. 5,3. 5,3. 2,3. 3,3. 1,2. 3,2. 4,2. 6,2. 6,2. 8,2. 5,2. 15,2. 16,2. 20,2. 7,2. 17,2. 16,2. 14,2. 17,2. 22,3. 6,3. 8,3. 7,3. 9,3. 16,3. 23,3. 20,3. 22,4. 14,4. 11,4. 4,4. 11,4. 21,4. 13,4. 7,4. 11,4. 23,4. 24,4. 24,4. 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bradford Park Avenue
Huddersfield Town,,,,,,,,,,,,,,,,,,,,,,,2. 13,2. 17,2. 5,2. 13,2. 8,2. 2,1. 17,1. 14,1. 3,1. 1,1. 1,1. 1,1. 2,1. 2,1. 16,1. 10,1. 5,1. 4,1. 6,1. 2,1. 16,1. 3,1. 15,1. 15,1. 19,1. 20,1. 19,1. 20,1. 15,1. 19,1. 21,2. 2,1. 3,1. 12,1. 21,2. 12,2. 9,2. 14,2. 6,2. 20,2. 7,2. 6,2. 12,2. 8,2. 4,2. 6,2. 14,2. 6,2. 1,1. 15,1. 22,2. 21,3. 10,3. 24,4. 5,4. 9,4. 11,4. 9,4. 1,3. 4,3. 17,3. 3,2. 12,2. 13,2. 16,2. 17,2. 23,3. 14,3. 8,3. 11,3. 3,3. 15,3. 11,3. 5,2. 8,2. 20,2. 16,2. 10,2. 8,2. 22,3. 6,3. 22,4. 4,3. 9,3. 4,3. 15,3. 10,3. 9,3. 6,3. 3,3. 4,2. 19,2. 17,2. 16,4. CH,Huddersfield Town
West Ham United,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. 7,2. 5,2. 4,2. 2,1. 13,1. 13,1. 18,1. 6,1. 17,1. 17,1. 7,1. 18,1. 22,2. 20,2. 7,2. 3,2. 4,2. 6,2. 9,2. 11,2. 12,2. 6,2. 7,2. 19,2. 13,2. 12,2. 14,2. 13,2. 8,2. 16,2. 8,2. 1,1. 6,1. 14,1. 16,1. 8,1. 12,1. 14,1. 9,1. 12,1. 16,1. 12,1. 8,1. 17,1. 20,1. 14,1. 6,1. 18,1. 13,1. 18,1. 17,1. 20,2. 5,2. 7,2. 1,1. 9,1. 8,1. 9,1. 16,1. 3,1. 15,1. 16,1. 19,2. 7,2. 2,1. 22,2. 2,1. 13,1. 14,1. 10,1. 14,1. 8,1. 5,1. 9,1. 15,1. 7,1. 18,2. 4,2. 6,1. 9,1. 15,1. 10,1. 9,1. 17,1. 20,2. 3,1. 10,1. 13,1. 12,4. PL,West Ham United
South Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. 9,2. 8,2. 6,2. 13,2. 9,2. 9,2. 10,2. 19,2. 22,3. 10,3. 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Shields
Rotherham County (1926 Rotherham United with Rotherham Town),,,,,,,,,,,,,,,,,,,,,,,,,,,,2. 17,2. 19,2. 16,2. 21,3. 4,3. 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotherham United
Coventry City,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. 20,2. 21,2. 20,2. 18,2. 19,2. 22,3. 16,3. 15,3. 20,3. 11,3. 6,3. 14,3. 12,3. 6,3. 2,3. 3,3. 1,2. 8,2. 4,2. 4,2. 8,2. 10,2. 16,2. 12,2. 7,2. 21,3. 6,3. 14,3. 9,3. 8,3. 16,3. 19,4. 2,3. 5,3. 15,3. 14,3. 4,3. 1,2. 10,2. 3,2. 1,1. 20,1. 20,1. 6,1. 10,1. 18,1. 19,1. 16,1. 14,1. 14,1. 19,1. 7,1. 10,1. 15,1. 16,1. 14,1. 19,1. 19,1. 18,1. 17,1. 10,1. 10,1. 7,1. 12,1. 16,1. 19,1. 15,1. 11,1. 16,1. 16,1. 17,1. 11,1. 15,1. 14,1. 19,2. 11,2. 20,2. 12,2. 19,2. 8,2. 17,2. 21,2. 17,2. 19,2. 18,2. 23,3. 15,3. 18,3. 17,4. L1,Coventry City
Cardiff City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. 2,1. 4,1. 9,1. 2,1. 11,1. 16,1. 14,1. 6,1. 22,2. 8,2. 22,3. 9,3. 19,3. 22,3. 19,3. 20,3. 18,3. 10,3. 13,3. 1,2. 5,2. 4,2. 10,2. 3,2. 2,1. 12,1. 10,1. 20,1. 17,1. 21,2. 15,2. 9,2. 2,1. 15,1. 21,2. 10,2. 15,2. 13,2. 20,2. 20,2. 13,2. 5,2. 7,2. 3,2. 19,2. 20,2. 17,2. 21,3. 2,2. 18,2. 19,2. 9,2. 15,2. 19,2. 20,3. 2,2. 15,2. 21,3. 22,4. 13,4. 2,3. 16,3. 21,4. 13,4. 9,4. 1,3. 19,3. 22,4. 22,4. 7,4. 21,4. 3,3. 21,4. 2,3. 4,3. 6,2. 13,2. 16,2. 11,2. 13,2. 12,2. 7,2. 4,2. 4,2. 6,2. 1,1. 20,2. 11,4. CH,Cardiff City
Leeds United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. 14,2. 8,2. 7,2. 1,1. 18,1. 19,1. 21,2. 2,1. 13,1. 5,1. 21,2. 2,1. 8,1. 9,1. 18,1. 11,1. 19,1. 9,1. 13,1. 22,2. 18,2. 15,2. 5,2. 5,2. 6,2. 10,2. 10,2. 4,2. 2,1. 8,1. 17,1. 15,1. 21,2. 14,2. 19,2. 5,2. 1,1. 2,1. 2,1. 4,1. 4,1. 1,1. 2,1. 2,1. 2,1. 3,1. 1,1. 9,1. 5,1. 10,1. 9,1. 5,1. 11,1. 9,1. 20,2. 8,2. 10,2. 7,2. 14,2. 4,2. 7,2. 10,2. 1,1. 4,1. 1,1. 17,1. 5,1. 5,1. 13,1. 11,1. 5,1. 4,1. 3,1. 4,1. 5,1. 15,1. 19,2. 14,2. 5,2. 24,3. 5,3. 4,3. 2,2. 7,2. 14,2. 13,2. 15,2. 15,4. CH,Leeds United
Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 1,2. 14,2. 16,2. 15,2. 21,3. 13,3. 6,3. 5,3. 2,3. 9,3. 2,3. 4,3. 5,3. 12,3. 5,3. 6,3. 14,3. 7,3. 2,3. 18,3. 13,3. 22,3. 7,3. 24,3. 19,3. 13,3. 22,3. 20,3. 23,3. 20,3. 14,4. 7,4. 8,4. 2,3. 15,3. 11,3. 2,2. 7,2. 11,2. 7,2. 11,2. 2,1. 20,1. 18,1. 20,1. 21,2. 20,3. 5,3. 5,3. 3,2. 9,2. 1,1. 13,1. 22,2. 15,2. 15,2. 18,2. 15,2. 5,2. 6,2. 6,2. 3,1. 15,1. 3,1. 10,1. 20,2. 1,1. 19,2. 3,2. 6,1. 20,2. 14,2. 15,2. 21,2. 10,2. 14,2. 6,1. 18,2. 6,2. 12,2. 5,2. 15,2. 21,2. 20,2. 17,2. 5,1. 11,1. 10,4. PL,Crystal Palace
Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 2,3. 1,2. 11,2. 5,2. 7,2. 14,2. 13,2. 17,2. 4,2. 7,2. 9,2. 14,2. 12,2. 14,2. 19,2. 17,2. 19,2. 15,2. 18,2. 14,2. 3,2. 3,2. 4,2. 12,2. 13,2. 21,3. 6,3. 3,3. 14,3. 4,3. 6,3. 14,3. 1,2. 8,2. 6,2. 11,2. 5,2. 4,2. 2,1. 19,1. 16,1. 7,1. 19,1. 7,1. 19,1. 13,1. 20,2. 13,2. 6,2. 9,2. 2,1. 14,1. 8,1. 6,1. 7,1. 12,1. 2,1. 5,1. 14,1. 12,1. 12,1. 13,1. 7,1. 14,1. 16,1. 18,1. 18,1. 10,1. 17,1. 16,1. 12,1. 17,1. 15,1. 10,1. 11,1. 8,1. 12,1. 20,2. 12,2. 6,2. 20,2. 23,3. 7,3. 2,2. 2,1. 14,1. 8,1. 7,4. PL,Southampton
Queens Park Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 3,3. 5,3. 11,3. 22,3. 19,3. 22,3. 14,3. 10,3. 6,3. 3,3. 8,3. 13,3. 16,3. 4,3. 13,3. 4,3. 9,3. 3,3. 6,3. 2,3. 1,2. 13,2. 20,2. 16,2. 22,3. 20,3. 18,3. 15,3. 18,3. 10,3. 10,3. 13,3. 8,3. 3,3. 4,3. 13,3. 15,3. 14,3. 3,3. 1,2. 2,1. 22,2. 9,2. 11,2. 4,2. 2,1. 8,1. 11,1. 2,1. 14,1. 19,1. 20,2. 5,2. 8,2. 5,2. 1,1. 5,1. 19,1. 13,1. 16,1. 5,1. 9,1. 11,1. 12,1. 11,1. 5,1. 9,1. 8,1. 19,2. 9,2. 21,2. 20,2. 10,2. 23,3. 8,3. 4,3. 2,2. 11,2. 21,2. 18,2. 14,2. 11,2. 13,2. 1,1. 17,1. 20,2. 4,1. 20,4. CH,Queens Park Rangers
Swindon Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 4,3. 6,3. 9,3. 6,3. 4,3. 6,3. 5,3. 6,3. 10,3. 14,3. 12,3. 17,3. 22,3. 8,3. 16,3. 19,3. 13,3. 8,3. 9,3. 4,3. 16,3. 4,3. 14,3. 17,3. 16,3. 18,3. 19,3. 21,3. 24,3. 23,3. 4,3. 15,3. 16,3. 16,3. 9,3. 2,2. 14,2. 21,3. 7,3. 8,3. 9,3. 2,2. 5,2. 12,2. 11,2. 16,2. 22,3. 4,3. 19,3. 11,3. 10,3. 5,3. 10,3. 17,3. 22,4. 8,4. 17,4. 8,4. 1,3. 3,2. 12,2. 6,2. 4,2. 21,2. 8,2. 5,1. 22,2. 21,3. 1,2. 19,2. 18,2. 17,2. 24,3. 20,3. 13,3. 10,3. 5,3. 12,3. 23,4. 3,3. 13,3. 15,3. 5,3. 24,4. 1,3. 6,3. 8,3. 4,4. L1,Swindon Town
Swansea Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 5,3. 10,3. 3,3. 4,3. 1,2. 5,2. 12,2. 6,2. 19,2. 15,2. 20,2. 15,2. 10,2. 19,2. 17,2. 13,2. 16,2. 18,2. 19,2. 21,3. 5,3. 1,2. 8,2. 18,2. 19,2. 11,2. 20,2. 10,2. 10,2. 10,2. 19,2. 11,2. 12,2. 7,2. 20,2. 15,2. 19,2. 22,3. 17,3. 21,4. 15,4. 10,4. 3,3. 11,3. 14,3. 23,4. 14,4. 22,4. 11,4. 5,4. 3,3. 3,2. 12,2. 3,1. 6,1. 21,2. 21,3. 20,3. 24,4. 12,4. 6,3. 12,3. 17,3. 20,3. 19,3. 5,3. 13,3. 10,3. 22,4. 5,4. 20,4. 7,4. 1,3. 23,4. 20,4. 21,4. 10,4. 3,3. 6,3. 7,3. 1,2. 8,2. 7,2. 3,1. 11,1. 9,1. 12,1. 8,4. PL,Swansea Town
Watford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 6,3. 7,3. 10,3. 20,3. 11,3. 15,3. 21,3. 15,3. 8,3. 15,3. 18,3. 11,3. 11,3. 15,3. 6,3. 5,3. 4,3. 4,3. 4,3. 16,3. 15,3. 17,3. 6,3. 23,3. 21,3. 10,3. 4,3. 7,3. 21,3. 11,3. 16,4. 15,4. 4,3. 4,3. 17,3. 17,3. 3,3. 9,3. 12,3. 3,3. 6,3. 1,2. 19,2. 18,2. 22,3. 19,3. 7,3. 23,4. 8,4. 7,4. 1,3. 2,2. 18,2. 9,2. 2,1. 2,1. 11,1. 11,1. 12,1. 9,1. 20,2. 4,2. 15,2. 20,2. 10,2. 16,2. 19,2. 7,2. 23,3. 13,3. 1,2. 5,1. 20,2. 9,2. 14,2. 13,2. 16,2. 18,2. 3,1. 20,2. 6,2. 13,2. 16,2. 14,2. 11,2. 3,2. 13,2. 2,4. PL,Watford
Millwall Athletic (1926 Millwall),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 7,3. 12,3. 6,3. 3,3. 5,3. 3,3. 3,3. 1,2. 14,2. 14,2. 14,2. 9,2. 7,2. 21,3. 12,3. 12,3. 8,3. 1,2. 13,2. 18,2. 22,3. 8,3. 22,3. 5,3. 4,3. 2,3. 12,3. 5,3. 22,3. 17,3. 23,4. 9,4. 5,4. 6,4. 1,3. 16,3. 21,4. 2,3. 2,2. 8,2. 7,2. 10,2. 10,2. 8,2. 3,2. 11,2. 12,2. 20,3. 3,2. 10,2. 16,2. 21,3. 14,3. 16,3. 9,3. 17,3. 9,3. 2,2. 9,2. 16,2. 1,1. 10,1. 20,2. 5,2. 15,2. 7,2. 3,2. 12,2. 22,3. 14,3. 18,3. 10,3. 5,3. 1,2. 4,2. 9,2. 10,2. 10,2. 23,3. 10,3. 17,3. 5,3. 3,2. 9,2. 16,2. 20,2. 19,2. 22,4. L1,Millwall
Merthyr Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 8,3. 11,3. 17,3. 13,3. 22,3. 14,3. 17,3. 21,3. 20,3. 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merthyr Town
Bristol Rovers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 10,3. 14,3. 13,3. 9,3. 17,3. 19,3. 10,3. 19,3. 19,3. 20,3. 15,3. 18,3. 9,3. 7,3. 8,3. 17,3. 15,3. 15,3. 22,3. 14,3. 20,3. 5,3. 9,3. 6,3. 7,3. 1,2. 9,2. 9,2. 6,2. 9,2. 10,2. 6,2. 9,2. 17,2. 21,3. 19,3. 12,3. 6,3. 16,3. 5,3. 15,3. 16,3. 3,3. 6,3. 6,3. 5,3. 2,2. 19,2. 18,2. 15,2. 18,2. 16,2. 19,2. 22,3. 15,3. 7,3. 5,3. 6,3. 16,3. 19,3. 8,3. 5,3. 1,2. 13,2. 13,2. 24,3. 8,3. 4,3. 10,3. 17,3. 5,3. 13,3. 7,3. 21,4. 23,4. 20,4. 15,4. 12,4. 12,4. 6,3. 16,3. 11,3. 11,3. 22,4. 13,4. 14,4. 23,,4. L2,Bristol Rovers
Plymouth Argyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 11,3. 2,3. 2,3. 2,3. 2,3. 2,3. 2,3. 3,3. 4,3. 1,2. 18,2. 4,2. 14,2. 10,2. 8,2. 7,2. 5,2. 13,2. 15,2. 19,2. 17,2. 20,2. 21,3. 4,3. 1,2. 4,2. 19,2. 20,2. 21,3. 18,3. 3,3. 1,2. 19,2. 11,2. 5,2. 12,2. 20,2. 15,2. 18,2. 16,2. 22,3. 5,3. 17,3. 15,3. 8,3. 8,3. 17,3. 2,2. 16,2. 21,3. 19,3. 15,3. 15,3. 7,3. 10,3. 8,3. 19,3. 15,3. 2,2. 7,2. 16,2. 18,2. 16,2. 18,2. 22,3. 14,3. 3,3. 21,4. 4,3. 19,3. 22,4. 13,4. 12,4. 12,4. 1,3. 8,3. 1,2. 17,2. 14,2. 11,2. 10,2. 21,2. 23,3. 23,4. 21,4. 21,4. 10,4. 7,4. L2,Plymouth Argyle
Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 12,3. 3,3. 7,3. 1,2. 4,2. 11,2. 2,1. 20,1. 20,1. 13,1. 4,1. 8,1. 9,1. 10,1. 14,1. 10,1. 9,1. 19,1. 17,1. 12,1. 8,1. 1,1. 1,1. 7,1. 4,1. 15,1. 14,1. 3,1. 12,1. 19,1. 20,1. 22,2. 20,2. 21,3. 1,2. 16,2. 19,2. 20,2. 12,2. 14,2. 5,2. 15,2. 17,2. 16,2. 16,2. 17,2. 15,2. 17,2. 22,3. 20,3. 24,4. 7,4. 4,3. 6,3. 13,3. 1,2. 16,2. 4,2. 4,2. 2,1. 19,2. 20,2. 12,2. 17,2. 9,2. 3,2. 17,2. 18,2. 21,2. 7,2. 20,2. 19,2. 18,2. 20,2. 17,2. 1,1. 13,1. 16,1. 17,1. 9,1. 8,1. 14,1. 20,2. 16,2. 22,3. 24,4. 13,4. 16,4. L2,Portsmouth
,,,,,,,,,,,,Season,,,,,,5,6,7,8,9,10,11,12,13,14,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Season
Clubs,,,,,,,,,,,,,,,,,,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs
Northampton Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 14,3. 17,3. 8,3. 8,3. 9,3. 12,3. 18,3. 2,3. 3,3. 4,3. 6,3. 14,3. 8,3. 13,3. 7,3. 15,3. 7,3. 9,3. 17,3. 13,3. 14,3. 20,3. 2,3. 21,3. 8,3. 3,3. 5,3. 13,3. 11,3. 14,3. 13,4. 8,4. 6,4. 3,3. 8,3. 1,2. 11,2. 2,1. 21,2. 21,3. 17,3. 21,4. 14,4. 7,4. 21,4. 23,4. 5,4. 16,4. 2,3. 22,4. 10,4. 19,4. 13,4. 10,4. 22,4. 15,4. 18,4. 23,4. 8,4. 1,3. 6,3. 20,3. 22,4. 10,4. 16,4. 20,4. 22,4. 17,4. 11,4. 4,3. 4,3. 22,4. 3,3. 18,3. 20,3. 24,4. 6,4. 7,4. 2,3. 14,3. 9,3. 21,4. 11,4. 16,4. 20,4. 6,4. 21,4. 12,4. L2,Northampton Town
Newport County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 15,3. 20,3. 22,3. 10,3. 6,3. 17,3. 9,3. 9,3. 16,3. 18,3. 21,,3. 21,3. 18,3. 22,3. 21,3. 19,3. 16,3. 1,2. 22,3. 12,3. 15,3. 21,3. 11,3. 6,3. 15,3. 15,3. 19,3. 19,3. 12,3. 11,3. 17,3. 13,3. 13,3. 24,4. 20,4. 15,4. 16,4. 9,4. 18,4. 12,4. 22,4. 21,4. 22,4. 14,4. 5,4. 9,4. 12,4. 22,4. 19,4. 16,4. 8,4. 3,3. 12,3. 16,3. 4,3. 13,3. 18,3. 19,3. 24,4. 24,,,,,,,,,,,,,,,,,,,,,,,,,,4. 14,4. 9,4. L2,Newport County
